lng,lat,name,strasse,hausnr,plz,ort,anlage,kategorie,zugaenglichkeit,beschreibung,website
8.70367580411601,47.3437889224159,Schulanlage Niederuster,,,,,Schulanlage Niederuster,Sportanlage: Spielwiesen,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/anlagen/9532
8.70262402905361,47.3434759036473,Schulanlage Niederuster,,,,,Schulanlage Niederuster,Sportanlage: Einfachturnhallen,Räumlichkeiten,,http://www.uster.ch/anlagen/9532
8.70809230720314,47.3512092153749,Schulanlage Krämeracker,,,,,Schulanlage Krämeracker,Sportanlage: Hartplätze (Asphalt),halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/anlagen/9532
8.70823072138222,47.350942949198,Schulanlage Krämeracker,,,,,Schulanlage Krämeracker,Sportanlage: Einfachturnhallen,Räumlichkeiten,,http://www.uster.ch/anlagen/9532
8.70766725094025,47.3509997786828,Schulanlage Krämeracker,,,,,Schulanlage Krämeracker,Sportanlage: Spielwiesen,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/anlagen/9532
8.72109899382627,47.3548109426752,Schulanlage Hasenbühl,,,,,Schulanlage Hasenbühl,Sportanlage: Einfachturnhallen,Räumlichkeiten,,http://www.uster.ch/anlagen/9532
8.72134588732932,47.3552214712746,Schulanlage Hasenbühl,,,,,Schulanlage Hasenbühl,Sportanlage: Spielwiesen,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/anlagen/9532
8.72196195793353,47.355137468047,Schulanlage Hasenbühl,,,,,Schulanlage Hasenbühl,Sportanlage: Hartplätze (Asphalt),halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/anlagen/9532
8.71819787376595,47.3605406758334,Schulanlage Gschwader,,,,,Schulanlage Gschwader,Sportanlage: Spielwiesen,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/anlagen/9532
8.71754076199502,47.3610171649445,Schulanlage Gschwader,,,,,Schulanlage Gschwader,Sportanlage: Einfachturnhallen,Räumlichkeiten,,http://www.uster.ch/anlagen/9532
8.71776620167594,47.3608589077245,Schulanlage Gschwader,,,,,Schulanlage Gschwader,Sportanlage: Hartplätze (Asphalt),halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/anlagen/9532
8.72122154419987,47.3476339856719,Schulanlage Freiestrasse,,,,,,Sportanlage: Einfachturnhallen,Räumlichkeiten,,http://www.uster.ch/anlagen/9532
8.72462084808604,47.3597223441937,Leichtathletik-Anlage Buchholz,,,,,Sportanlage Buchholz,Sportanlage: Leichtathletikanlagen,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/anlagen/1414
8.7141609519349,47.3489679468378,Landihalle,,,,,,Sportanlage: Einfachturnhallen,Räumlichkeiten,,http://www.uster.ch/anlagen/11779
8.726461508492,47.3595340126291,Hallenbad,,,,,Sportanlage Buchholz,Sportanlage: Bäder,Räumlichkeiten,,http://www.uster.ch/anlagen/9526
8.7268334156465,47.3440868866482,Fussballanlage Heusser-Staub,,,,,,Sportanlage: Fussballplätze,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/anlagen/9845
8.72121469544789,47.3467592938868,Dorfbad,,,,,,Sportanlage: Bäder,halb-öffentlicher Raum (eingeschränkte resp. reglementierte Zugänglichkeit),,http://www.uster.ch/anlagen/1412
8.72548841549436,47.3587352310291,Badmintonhalle Blue Shuttle,,,,,Sportanlage Buchholz,Sportanlage: Badmintonanlagen,Räumlichkeiten,,http://www.bluepoint.ch/
